#Depth	TVD	DX	DY	GR	RT	RI	RXO	DEN	SP
38.125	38.107	0.139	0.548	66.862	19.829	10.988	18.216	2.358	-11.238
38.250	38.231	0.142	0.555	66.483	16.208	9.245	10.191	2.286	-11.302
38.375	38.356	0.144	0.562	66.051	13.132	7.623	8.048	2.229	-11.491
38.500	38.481	0.147	0.568	66.339	11.252	6.499	7.791	2.198	-11.711
38.625	38.605	0.149	0.575	66.300	10.712	6.004	7.628	2.174	-12.007
38.750	38.730	0.152	0.581	66.113	10.923	5.934	7.655	2.130	-12.348
38.875	38.855	0.154	0.588	66.760	11.476	6.139	7.875	2.063	-12.682
39.000	38.980	0.157	0.594	67.730	11.977	6.444	7.832	1.992	-12.950
39.125	39.104	0.159	0.601	66.524	12.002	6.618	7.707	1.958	-13.121
39.250	39.229	0.162	0.607	65.200	11.469	6.528	7.805	1.979	-13.170
39.375	39.354	0.165	0.614	67.543	10.486	6.166	7.636	2.049	-13.047
39.500	39.478	0.167	0.621	72.715	9.334	5.648	6.848	2.137	-12.809
39.625	39.603	0.170	0.627	77.827	8.412	5.170	5.820	2.195	-12.473
39.750	39.728	0.172	0.634	80.428	7.937	4.875	5.341	2.199	-12.124
39.875	39.853	0.175	0.640	78.834	7.971	4.826	5.617	2.156	-11.854
40.000	39.977	0.177	0.647	73.454	8.445	5.031	6.238	2.093	-11.693
40.125	40.102	0.180	0.653	68.350	9.207	5.474	6.740	2.056	-11.594
40.250	40.227	0.182	0.660	68.354	9.971	6.011	7.225	2.060	-11.619
40.375	40.352	0.185	0.666	70.579	10.570	6.520	7.605	2.096	-11.689
40.500	40.476	0.187	0.673	70.347	10.929	6.906	7.791	2.138	-11.851
40.625	40.601	0.190	0.680	66.648	11.033	7.115	7.772	2.154	-12.131
40.750	40.726	0.192	0.686	63.390	10.937	7.171	7.660	2.136	-12.379
40.875	40.850	0.195	0.693	62.714	10.599	7.054	7.497	2.092	-12.541
41.000	40.975	0.198	0.699	64.386	9.972	6.732	7.333	2.049	-12.528
41.125	41.100	0.200	0.706	68.450	9.063	6.208	7.008	2.038	-12.350
41.250	41.225	0.203	0.712	75.453	8.092	5.617	6.555	2.067	-11.917
41.375	41.349	0.205	0.719	83.033	7.256	5.078	5.686	2.125	-11.386
41.500	41.474	0.208	0.725	87.231	6.709	4.678	5.246	2.190	-10.832
41.625	41.599	0.210	0.732	87.037	6.585	4.498	5.266	2.233	-10.269
41.750	41.723	0.213	0.739	86.139	6.824	4.524	5.641	2.246	-9.826
41.875	41.848	0.215	0.745	84.759	7.383	4.750	6.042	2.238	-9.500
42.000	41.973	0.218	0.752	82.104	8.186	5.151	6.289	2.230	-9.347
42.125	42.098	0.220	0.758	77.879	9.122	5.690	6.780	2.240	-9.500
42.250	42.222	0.223	0.765	72.737	10.002	6.263	8.538	2.262	-9.993
42.375	42.347	0.225	0.771	66.266	10.660	6.774	11.693	2.278	-10.775
42.500	42.472	0.228	0.778	60.493	10.983	7.125	13.147	2.276	-11.641
42.625	42.596	0.230	0.784	59.276	10.960	7.262	10.242	2.254	-12.454
42.750	42.721	0.233	0.791	61.206	10.865	7.320	8.842	2.227	-13.179
42.875	42.846	0.236	0.797	64.892	10.964	7.450	8.691	2.202	-13.792
43.000	42.971	0.238	0.804	68.742	11.443	7.775	8.914	2.176	-14.277
43.125	43.095	0.241	0.811	70.949	12.330	8.362	8.888	2.145	-14.482
43.250	43.220	0.243	0.817	70.135	13.263	9.045	8.657	2.113	-14.541
43.375	43.345	0.246	0.824	66.498	13.872	9.590	8.479	2.092	-14.422
43.500	43.470	0.248	0.830	62.021	13.909	9.782	8.527	2.088	-14.172
43.625	43.594	0.251	0.837	58.420	13.354	9.530	8.749	2.100	-13.961
43.750	43.719	0.253	0.843	57.256	12.622	9.090	8.948	2.114	-13.688
43.875	43.844	0.256	0.850	60.618	11.988	8.655	9.086	2.118	-13.416
44.000	43.968	0.258	0.856	67.544	11.534	8.311	9.166	2.106	-13.073
44.125	44.093	0.261	0.863	69.984	11.111	7.994	9.070	2.086	-12.702
44.250	44.218	0.263	0.870	67.400	10.510	7.569	8.861	2.075	-12.229
44.375	44.343	0.266	0.876	66.108	9.678	6.995	8.467	2.087	-11.632
44.500	44.467	0.269	0.883	71.765	8.716	6.342	7.385	2.124	-10.955
44.625	44.592	0.271	0.889	82.012	7.844	5.758	5.757	2.171	-10.144
44.750	44.717	0.274	0.896	89.626	7.210	5.330	5.409	2.203	-9.413
44.875	44.841	0.276	0.902	92.099	6.865	5.087	5.761	2.209	-8.701
45.000	44.966	0.279	0.909	91.239	6.806	5.026	6.071	2.197	-8.063
45.125	45.091	0.281	0.915	91.206	7.050	5.175	6.027	2.192	-7.650
45.250	45.216	0.284	0.922	90.404	7.523	5.502	6.031	2.210	-7.395
45.375	45.340	0.286	0.929	86.989	8.172	5.993	7.058	2.246	-7.319
45.500	45.465	0.289	0.935	83.328	8.896	6.601	9.718	2.280	-7.492
45.625	45.590	0.291	0.942	81.843	9.509	7.216	13.950	2.286	-7.828
45.750	45.715	0.294	0.948	80.695	9.863	7.683	13.064	2.267	-8.151
45.875	45.839	0.296	0.955	78.151	9.913	7.905	10.070	2.235	-8.481
46.000	45.964	0.299	0.961	75.290	9.749	7.893	8.241	2.204	-8.775
46.125	46.089	0.301	0.968	72.936	9.585	7.766	7.783	2.176	-8.953
46.250	46.213	0.304	0.974	71.869	9.604	7.690	7.989	2.150	-9.039
46.375	46.338	0.307	0.981	72.470	9.809	7.717	8.095	2.126	-9.046
46.500	46.463	0.309	0.988	73.169	10.018	7.774	7.943	2.111	-8.854
46.625	46.588	0.312	0.994	71.894	9.833	7.603	7.890	2.113	-8.549
46.750	46.712	0.314	1.001	69.904	9.095	7.048	7.876	2.127	-8.147
