#Depth	AC	GR	R025	R2M	RA2	RI	RT	RXO	SP
56.375	0.000	0.000	6.105	6.062	0.000	0.000	0.000	0.000	0.000
56.500	0.000	0.000	5.668	6.148	0.000	0.000	0.000	0.000	0.000
56.625	0.000	0.000	4.834	5.348	0.000	0.000	0.000	0.000	0.000
56.750	0.000	0.000	4.219	5.007	0.000	0.000	0.000	0.000	0.000
56.875	0.000	0.000	3.806	4.550	0.000	0.000	0.000	0.000	0.000
57.000	0.000	0.000	3.863	4.246	0.000	0.000	0.000	0.000	0.000
57.125	0.000	0.000	4.102	4.028	0.000	0.000	0.000	0.000	0.000
57.250	0.000	0.000	4.342	4.014	0.000	0.000	0.000	0.000	0.000
57.375	0.000	0.000	4.581	4.949	0.000	0.000	0.000	0.000	0.000
57.500	0.000	0.000	4.820	8.748	0.000	0.000	0.000	0.000	0.000
57.625	0.000	0.000	5.139	8.823	0.000	0.000	0.000	0.000	0.000
57.750	0.000	0.000	5.489	8.314	0.000	0.000	0.000	0.000	0.000
57.875	0.000	0.000	5.750	7.666	0.000	0.000	0.000	0.000	0.000
58.000	0.000	0.000	6.275	6.956	0.000	0.000	0.000	0.000	0.000
58.125	0.000	0.000	5.473	6.286	0.000	0.000	0.000	0.000	0.000
58.250	0.000	0.000	5.029	4.677	0.000	0.000	0.000	0.000	0.000
58.375	0.000	0.000	4.824	4.535	0.000	0.000	0.000	0.000	0.000
58.500	0.000	0.000	4.673	4.536	0.000	0.000	0.000	0.000	0.000
58.625	0.000	0.000	4.525	4.537	0.000	0.000	0.000	0.000	0.000
58.750	0.000	0.000	4.431	4.524	0.000	0.000	0.000	0.000	0.000
58.875	0.000	0.000	4.282	3.986	0.000	0.000	0.000	0.000	0.000
59.000	0.000	0.000	4.063	3.774	0.000	0.000	0.000	0.000	0.000
59.125	0.000	0.000	4.071	3.890	0.000	0.000	0.000	0.000	0.000
59.250	0.000	0.000	4.512	4.242	0.000	0.000	0.000	0.000	0.000
59.375	0.000	0.000	4.954	4.836	0.000	0.000	0.000	0.000	0.000
59.500	0.000	0.000	5.364	5.193	0.000	0.000	0.000	0.000	0.000
59.625	0.000	0.000	5.715	5.483	0.000	0.000	0.000	0.000	0.000
59.750	0.000	0.000	6.096	5.720	0.000	0.000	0.000	0.000	0.000
59.875	0.000	0.000	6.629	4.495	0.000	0.000	0.000	0.000	0.000
60.000	0.000	0.000	7.212	5.112	0.000	0.000	0.000	0.000	0.000
60.125	0.000	0.000	7.631	5.623	0.000	0.000	0.000	0.000	0.000
60.250	0.000	0.000	8.123	5.955	0.000	0.000	0.000	0.000	0.000
60.375	0.000	0.000	8.139	6.286	0.000	0.000	0.000	0.000	0.000
60.500	0.000	0.000	7.938	6.618	0.000	0.000	0.000	0.000	0.000
60.625	0.000	0.000	7.416	5.215	0.000	0.000	0.000	0.000	0.000
60.750	0.000	0.000	6.838	4.618	0.000	0.000	0.000	0.000	0.000
60.875	0.000	0.000	6.333	4.501	0.000	0.000	0.000	0.000	0.000
61.000	0.000	0.000	5.792	4.503	0.000	0.000	0.000	0.000	0.000
61.125	0.000	0.000	5.513	4.547	0.000	0.000	0.000	0.000	0.000
61.250	0.000	0.000	5.294	4.723	0.000	0.000	0.000	0.000	0.000
61.375	0.000	0.000	4.998	5.023	0.000	0.000	0.000	0.000	0.000
61.500	0.000	0.000	4.748	5.249	0.000	0.000	0.000	0.000	0.000
61.625	0.000	0.000	4.569	5.497	0.000	0.000	0.000	0.000	0.000
61.750	0.000	0.000	4.566	5.741	0.000	0.000	0.000	0.000	0.000
61.875	0.000	0.000	4.609	5.968	0.000	0.000	0.000	0.000	0.000
62.000	0.000	0.000	4.674	6.200	0.000	0.000	0.000	0.000	0.000
62.125	0.000	0.000	4.847	6.433	0.000	0.000	0.000	0.000	0.000
62.250	0.000	0.000	5.021	6.573	0.000	0.000	0.000	0.000	0.000
62.375	0.000	0.000	5.170	6.665	0.000	0.000	0.000	0.000	0.000
62.500	0.000	0.000	4.955	6.665	0.000	0.000	0.000	0.000	0.000
62.625	0.000	0.000	5.056	6.593	0.000	0.000	0.000	0.000	0.000
62.750	0.000	0.000	5.185	6.193	0.000	0.000	0.000	0.000	0.000
62.875	0.000	0.000	5.525	5.923	0.000	0.000	0.000	0.000	0.000
