#Depth	GR	RT	RI	RXO	DEN	SP
123.250	64.051	17.591	16.505	17.405	2.194	-6.178
123.375	72.686	11.488	11.603	12.097	2.223	-6.210
123.500	76.687	7.795	8.034	6.081	2.269	-6.246
123.625	81.174	6.038	6.072	4.738	2.318	-6.279
123.750	80.734	5.281	5.180	4.564	2.350	-6.304
123.875	78.616	5.106	4.960	4.719	2.359	-6.318
124.000	74.433	5.349	5.200	4.953	2.347	-6.318
124.125	68.138	5.888	5.737	5.300	2.323	-6.306
124.250	62.562	6.535	6.403	5.878	2.304	-6.282
124.375	60.069	7.134	7.067	6.244	2.298	-6.249
124.500	57.165	7.811	7.785	6.674	2.310	-6.214
124.625	56.455	8.595	8.581	7.413	2.316	-6.183
124.750	56.415	9.571	9.526	8.389	2.309	-6.160
124.875	56.125	10.856	10.713	9.668	2.289	-6.148
125.000	58.234	12.584	12.244	11.713	2.265	-6.149
125.125	58.234	14.971	14.260	14.140	2.249	-6.168
125.250	60.288	17.003	15.919	15.835	2.243	-6.202
125.375	62.055	17.245	16.134	17.275	2.232	-6.249
125.500	64.089	15.598	14.812	15.746	2.220	-6.308
125.625	66.448	12.889	12.539	10.626	2.211	-6.376
125.750	66.598	10.554	10.340	6.860	2.212	-6.450
125.875	66.099	9.485	9.178	7.139	2.221	-6.529
126.000	63.135	9.302	8.908	8.026	2.222	-6.607
126.125	59.541	10.014	9.562	9.995	2.211	-6.680
126.250	57.436	11.732	11.190	12.513	2.194	-6.744
126.375	57.492	14.556	13.764	15.318	2.179	-6.794
126.500	57.784	18.497	17.125	19.283	2.173	-6.828
126.625	59.778	23.397	21.179	25.845	2.169	-6.837
126.750	60.128	27.607	24.891	25.839	2.166	-6.825
126.875	59.661	30.271	27.368	24.092	2.162	-6.795
127.000	58.172	30.926	28.097	22.625	2.158	-6.750
127.125	55.567	29.725	27.134	21.993	2.155	-6.697
127.250	52.699	27.595	25.252	21.966	2.152	-6.639
127.375	54.693	26.001	23.712	21.334	2.155	-6.587
127.500	57.510	25.649	23.298	19.644	2.179	-6.547
127.625	58.009	26.528	24.065	19.860	2.230	-6.522
