#Depth	DEN	GR	RT	RI	RXO	SP
106.250	2.164	53.987	11.370	9.526	10.064	-8.797
106.375	2.153	54.897	11.447	9.623	10.810	-8.654
106.500	2.148	57.579	11.453	9.650	10.371	-8.504
106.625	2.149	62.996	11.417	9.627	9.282	-8.316
106.750	2.156	66.825	11.367	9.575	8.659	-8.099
106.875	2.167	65.991	11.311	9.511	8.544	-7.905
107.000	2.176	63.005	11.243	9.445	8.463	-7.790
107.125	2.180	60.979	11.155	9.382	8.333	-7.726
107.250	2.177	61.601	11.051	9.325	8.229	-7.642
107.375	2.169	66.402	10.949	9.280	8.250	-7.492
107.500	2.156	74.020	10.887	9.267	8.353	-7.279
107.625	2.141	79.259	10.887	9.298	8.434	-7.048
107.750	2.126	81.239	10.956	9.380	8.447	-6.786
107.875	2.114	81.405	11.078	9.508	8.377	-6.450
108.000	2.111	78.945	11.218	9.655	8.331	-6.016
108.125	2.117	75.327	11.311	9.767	8.300	-5.527
108.250	2.134	73.941	11.282	9.777	8.262	-5.030
108.375	2.159	74.689	11.060	9.620	8.221	-4.568
108.500	2.190	76.005	10.569	9.229	8.169	-4.139
108.625	2.224	79.500	9.857	8.643	8.014	-3.725
108.750	2.257	84.393	9.018	7.936	7.766	-3.362
108.875	2.281	85.517	8.164	7.201	7.439	-3.103
109.000	2.287	80.829	7.449	6.560	6.942	-2.962
109.125	2.280	77.007	6.991	6.106	6.505	-2.894
109.250	2.267	77.468	6.889	5.914	6.348	-2.873
109.375	2.263	78.067	7.210	6.045	6.328	-2.905
109.500	2.285	72.875	7.989	6.549	6.521	-3.010
109.625	2.328	64.240	9.017	7.302	7.511	-3.150
109.750	2.373	56.485	9.986	8.095	9.275	-3.281
109.875	2.398	52.322	10.550	8.670	11.403	-3.376
110.000	2.389	53.673	10.362	8.711	11.903	-3.440
110.125	2.360	59.129	9.531	8.218	10.169	-3.497
110.250	2.332	65.520	8.394	7.402	8.083	-3.530
110.375	2.317	70.015	7.348	6.561	6.801	-3.528
110.500	2.312	70.763	6.735	5.976	6.074	-3.519
110.625	2.311	69.786	6.571	5.710	5.876	-3.552
110.750	2.307	69.594	6.766	5.732	6.178	-3.657
110.875	2.298	71.248	7.199	5.976	6.527	-3.839
111.000	2.282	72.986	7.743	6.360	6.903	-4.089
111.125	2.264	71.877	8.265	6.773	7.109	-4.360
111.250	2.246	68.290	8.680	7.135	7.216	-4.633
111.375	2.232	64.470	8.948	7.397	7.525	-4.893
111.500	2.226	63.103	9.043	7.521	7.793	-5.120
111.625	2.225	62.688	9.009	7.534	7.701	-5.288
111.750	2.226	61.428	8.908	7.476	7.434	-5.342
111.875	2.226	61.363	8.812	7.404	7.543	-5.258
112.000	2.222	64.193	8.827	7.399	7.611	-5.073
112.125	2.215	65.255	9.011	7.515	7.459	-4.857
112.250	2.208	61.811	9.355	7.760	7.301	-4.607
112.375	2.213	56.598	9.759	8.073	7.665	-4.295
112.500	2.237	55.368	10.001	8.297	8.493	-3.905
