#Depth	DEN	SP	R2M	R025	RA2	GR	RT	RI	RXO
76.000	2.132	-31.049	9.847	6.613	9.847	58.437	10.065	7.503	8.809
76.125	2.140	-30.769	9.869	6.434	9.869	57.759	10.084	7.455	9.421
76.250	2.152	-30.425	9.856	6.257	9.856	56.391	10.129	7.408	9.841
76.375	2.166	-29.976	9.769	6.157	9.769	56.600	10.207	7.373	9.948
76.500	2.174	-29.423	9.614	6.172	9.614	56.946	10.315	7.363	10.244
76.625	2.166	-28.727	9.392	6.283	9.392	54.206	10.408	7.373	10.711
76.750	2.143	-27.918	9.194	6.387	9.194	50.652	10.421	7.367	10.856
76.875	2.115	-26.989	9.081	6.397	9.081	51.007	10.317	7.309	10.722
77.000	2.098	-25.960	9.018	6.274	9.018	56.866	10.108	7.177	10.538
77.125	2.117	-24.875	8.934	6.044	8.934	64.438	9.835	6.975	10.325
77.250	2.159	-23.786	8.826	5.834	8.826	70.248	9.560	6.760	9.777
77.375	2.202	-22.757	8.858	5.745	8.858	74.859	9.331	6.591	8.988
77.500	2.223	-21.808	9.000	5.828	9.000	77.140	9.217	6.529	8.521
77.625	2.230	-20.960	9.103	6.066	9.103	74.879	9.371	6.657	8.501
77.750	2.246	-20.189	9.275	6.327	9.275	72.053	9.853	6.979	8.548
77.875	2.282	-19.500	9.520	6.508	9.520	70.511	10.643	7.485	9.312
78.000	2.329	-18.888	9.852	6.547	9.852	68.191	11.556	8.095	10.945
78.125	2.362	-18.350	10.245	6.422	10.245	65.264	12.189	8.592	12.485
78.250	2.372	-17.871	10.565	6.214	10.565	65.849	12.246	8.748	13.475
78.375	2.359	-17.460	10.619	5.983	10.619	71.646	11.648	8.448	13.722
78.500	2.336	-17.128	10.474	5.768	10.474	81.699	10.570	7.754	13.300
78.625	2.316	-16.970	10.350	5.580	10.350	94.642	9.381	6.887	8.082
78.750	2.305	-16.983	10.128	5.390	10.128	109.736	8.415	6.117	6.225
78.875	2.305	-17.180	9.765	5.176	9.765	122.996	7.796	5.559	5.645
79.000	2.313	-17.590	9.264	4.948	9.264	131.562	7.538	5.248	5.656
79.125	2.319	-18.254	8.703	4.782	8.703	135.727	7.624	5.203	5.724
79.250	2.315	-19.120	8.220	4.756	8.220	138.606	7.900	5.327	5.917
